state,code,name,cases,deaths
AC,120001,Acrelândia,516,11
AC,120005,Assis Brasil,732,9
AC,120010,Brasiléia,1227,20
AC,120013,Bujari,430,8
AC,120017,Capixaba,276,8
AC,120020,Cruzeiro do Sul,3838,67
AC,120025,Epitaciolândia,553,14
AC,120030,Feijó,1402,24
AC,120032,Jordão,227,1
AC,120033,Mâncio Lima,1314,14
AC,120034,Manoel Urbano,427,2
AC,120035,Marechal Thaumaturgo,685,6
AC,120038,Plácido de Castro,472,8
AC,120039,Porto Walter,322,2
AC,120040,Rio Branco,15706,450
AC,120042,Rodrigues Alves,223,7
AC,120043,Santa Rosa do Purus,371,2
AC,120045,Senador Guiomard,590,13
AC,120050,Sena Madureira,2003,14
AC,120060,Tarauacá,2743,14
AC,120070,Xapuri,1627,13
AC,120080,Porto Acre,575,16
AL,270010,Água Branca,104,4
AL,270020,Anadia,512,9
AL,270030,Arapiraca,12935,173
AL,270040,Atalaia,640,23
AL,270050,Barra de Santo Antônio,137,14
AL,270060,Barra de São Miguel,166,5
AL,270070,Batalha,620,11
AL,270080,Belém,61,2
AL,270090,Belo Monte,181,4
AL,270100,Boca da Mata,1259,25
AL,270110,Branquinha,273,6
AL,270120,Cacimbinhas,302,3
AL,270130,Cajueiro,373,15
AL,270135,Campestre,96,3
AL,270140,Campo Alegre,1510,28
AL,270150,Campo Grande,231,7
AL,270160,Canapi,68,3
AL,270170,Capela,539,7
AL,270180,Carneiros,97,2
AL,270190,Chã Preta,47,1
AL,270200,Coité do Nóia,159,3
AL,270210,Colônia Leopoldina,258,9
AL,270220,Coqueiro Seco,307,6
AL,270230,Coruripe,1887,31
AL,270235,Craíbas,734,12
AL,270240,Delmiro Gouveia,1055,24
AL,270250,Dois Riachos,211,2
AL,270255,Estrela de Alagoas,205,5
AL,270260,Feira Grande,479,7
AL,270270,Feliz Deserto,99,4
AL,270280,Flexeiras,332,7
AL,270290,Girau do Ponciano,1363,20
AL,270300,Ibateguara,444,9
AL,270310,Igaci,257,3
AL,270320,Igreja Nova,580,7
AL,270330,Inhapi,75,3
AL,270340,Jacaré dos Homens,122,1
AL,270350,Jacuípe,64,2
AL,270360,Japaratinga,165,5
AL,270370,Jaramataia,61,1
AL,270375,Jequiá da Praia,384,9
AL,270380,Joaquim Gomes,579,16
AL,270390,Jundiá,48,3
AL,270400,Junqueiro,582,20
AL,270410,Lagoa da Canoa,590,10
AL,270420,Limoeiro de Anadia,547,15
AL,270430,Maceió,31028,1029
AL,270440,Major Isidoro,432,8
AL,270450,Maragogi,501,16
AL,270460,Maravilha,100,4
AL,270470,Marechal Deodoro,2737,37
AL,270480,Maribondo,358,13
AL,270490,Mar Vermelho,26,1
AL,270500,Mata Grande,203,5
AL,270510,Matriz de Camaragibe,1123,23
AL,270520,Messias,650,21
AL,270530,Minador do Negrão,90,1
AL,270540,Monteirópolis,128,1
AL,270550,Murici,434,23
AL,270560,Novo Lino,113,7
AL,270570,Olho d'Água das Flores,1160,15
AL,270580,Olho d'Água do Casado,43,2
AL,270590,Olho d'Água Grande,145,4
AL,270600,Olivença,155,3
AL,270610,Ouro Branco,95,4
AL,270620,Palestina,305,3
AL,270630,Palmeira dos Índios,1954,42
AL,270640,Pão de Açúcar,913,8
AL,270642,Pariconha,206,1
AL,270644,Paripueira,190,11
AL,270650,Passo de Camaragibe,379,11
AL,270660,Paulo Jacinto,191,8
AL,270670,Penedo,1637,23
AL,270680,Piaçabuçu,373,14
AL,270690,Pilar,1474,27
AL,270700,Pindoba,79,1
AL,270710,Piranhas,293,7
AL,270720,Poço das Trincheiras,104,3
AL,270730,Porto Calvo,795,17
AL,270740,Porto de Pedras,154,3
AL,270750,Porto Real do Colégio,418,8
AL,270760,Quebrangulo,406,2
AL,270770,Rio Largo,1336,66
AL,270780,Roteiro,155,8
AL,270790,Santa Luzia do Norte,249,5
AL,270800,Santana do Ipanema,1848,30
AL,270810,Santana do Mundaú,282,6
AL,270820,São Brás,262,0
AL,270830,São José da Laje,722,10
AL,270840,São José da Tapera,893,16
AL,270850,São Luís do Quitunde,863,20
AL,270860,São Miguel dos Campos,2183,38
AL,270870,São Miguel dos Milagres,126,6
AL,270880,São Sebastião,853,16
AL,270890,Satuba,513,18
AL,270895,Senador Rui Palmeira,124,4
AL,270900,Tanque d'Arca,127,3
AL,270910,Taquarana,267,3
AL,270915,Teotônio Vilela,1332,36
AL,270920,Traipu,281,6
AL,270930,União dos Palmares,990,46
AL,270940,Viçosa,440,9
AM,130002,Alvarães,1369,20
AM,130006,Amaturá,1026,10
AM,130008,Anamã,979,1
AM,130010,Anori,1126,15
AM,130014,Apuí,340,4
AM,130020,Atalaia do Norte,1490,4
